"Submission ID","Performance Detail Submission ID","Created Date","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target (del)","Target Pathogen (del)","Serovar subtype","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Connectivity Solution","FIND Evaluation","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples","Reference","Date of study","Type of data source"
"a0B6900001Ll535","a266900000AkgDM","29.10.2021","United States","Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","ebolavirus (EBOV) Real Time RT-PCR Kit","Ebola fever","Ebola virus","Ebola spp.","Regulatory Achieved","CE-IVDD; China NMPA; WHO EUL","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll53Q","a266900000AkgGc","29.10.2021","United States","Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","ebolavirus (EBOV) Real Time RT-PCR Kit","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD; China NMPA","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll53P","a266900000BFJMC","29.10.2021","United States","Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","ebolavirus (EBOV) Real Time RT-PCR Kit light-cycler","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD; China NMPA","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll536","a266900000AkgDu","29.10.2021","China","Western Pacific","en.mabsky.com/index.html","MABSKY BIO-TECH CO.,ltd.","The ebolavirus Detection Kit (Real-Time PCR Method)","Ebola fever","Ebola virus","Ebola spp.","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll537","a266900000AkgEP","29.10.2021","Germany","Europe","midgemedical.com","midge medical MPS GmbH","ebolavirus","Ebola fever","Ebola virus","Zaire ebolavirus","Development","None","Molecular","RNA","Unknown","RT-isothermal NAT (other)","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Automated (excluding sample preparation)","True Point of Care","Intended for professional use only","Purified RNA","","Yes","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll538","a266900000AkgEQ","29.10.2021","Germany","Europe","midgemedical.com","midge medical MPS GmbH","Sudan virus","Ebola fever","Ebola virus","Sudan ebolavirus","Development","None","Molecular","RNA","Unknown","RT-isothermal NAT (other)","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Automated (excluding sample preparation)","True Point of Care","Intended for professional use only","Unknown","","Yes","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll539","a266900000AWMeq","29.10.2021","United States","Americas","orasure.com","OraSure Technologies Inc.","OraQuick Ebola Rapid Antigen Test","Ebola fever","Ebola virus","Ebola spp.","Regulatory Achieved","US FDA De Novo; WHO EUL","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Whole Blood","30.00","Not applicable","","Yes","Yes","None","Company-Sponsored","84.00","98.00","25","50","75","","",""
"a0B6900001Ll539","a266900000AkgFB","29.10.2021","United States","Americas","orasure.com","OraSure Technologies Inc.","OraQuick Ebola Rapid Antigen Test","Ebola fever","Ebola virus","Ebola spp.","Regulatory Achieved","US FDA De Novo; WHO EUL","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Whole Blood","30.00","Not applicable","","Yes","Yes","None","Company-Sponsored","97.10","100.00","35","193","228","","",""
"a0B6900001Ll53A","a266900000AkgFK","29.10.2021","United Kingdom","Europe","pcrmax.com","PCRMax","Zaire ebolavirus","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Other","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001U50yv","a266900000AWMlu","21.10.2022","Korea, Republic of","Western Pacific","rapigen-inc.com","Rapigen Inc.","BIOCREDIT Ebola Ag Test; One Step Ebola Antigen Test","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","Unknown","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","20.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001Ll53M","a266900000AkgG3","29.10.2021","Germany","Europe","molecular.roche.com","Roche Diagnostics International AG","LightMix Ebola Zaire rRT-PCR Test","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","US FDA EUA","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","180.00","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll53N","a266900000AkgG8","29.10.2021","Italy","Europe","sacace.com","Sacace Biotechnologies","New Ebola Zaire Virus Real Time PCR detection kit","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Saliva; Plasma; Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll53O","a266900000AkgGS","29.10.2021","Korea, Republic of","South-East Asia","sdbiosensor.com","SD Biosensor, Inc.","STANDARD Q Ebola Zaire Ag","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD; WHO EUL","Immunoassay","Antigen","EBOV Glycoprotein; EBOV Nucleotide protein; EBOV viral matrix protein 40","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","20.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","84.90","99.70","","","","","",""
"a0B6900001U5179","a266900000AWMlw","21.10.2022","United States","Americas","defense.gov","US Department of Defense","EZ1 Real-time RT-PCR Assay (DoD)","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","US FDA EUA","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Whole Blood","50.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001U50yr","a266900000AWMlx","21.10.2022","France","Europe","vedalab.com","VedaLab","Ebola eZYSCREEN","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","10.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001Ll53R","a266900000AkgHR","29.10.2021","France","Europe","vedalab.com","VedaLab","Ebola test","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","10.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001U5175","a266900000AWMly","21.10.2022","United States","Americas","zalgen.com","Zalgen Labs","ReEBOV Antigen Rapid Test","Ebola fever","Ebola virus","Ebola spp.","Regulatory Status Unknown","None","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","15.00","Not applicable","No","Yes","Yes","WHO EUL","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001Ll53S","a266900000AkgHt","29.10.2021","United States","Americas","zalgen.com","Zalgen Labs","ReEBOV IgG/IgM ELISA Test Kit","Ebola fever","Ebola virus","Ebola spp.","Research Use Only (RUO)","None","Immunoassay","Antibody (serological)","Anti-EBOV IgG; Anti-EBOV IgM","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll53T","a266900000AkgHu","29.10.2021","United States","Americas","zalgen.com","Zalgen Labs","ReEBOV VP40 Antigen ELISA Test Kit","Ebola fever","Ebola virus","Ebola spp.","Research Use Only (RUO)","None","Immunoassay","Antigen","EBOV viral matrix protein 40","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
