"Submission ID","Performance Detail Submission ID","Created Date","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target (del)","Target Pathogen (del)","Serovar subtype","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Connectivity Solution","FIND Evaluation","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples","Reference","Date of study","Type of data source"
"a0B6900001U517A","a266900000AWMln","21.10.2022","United States","Americas","cdc.gov","Centers for Disease Control and Prevention","CDC Ebola Virus NP Real-time RT-PCR Assay","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","US FDA EUA","Molecular","RNA","EBOV Nucleotide protein","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma; Urine; Whole Blood","50.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001U517B","a266900000AWMlo","21.10.2022","United States","Americas","cdc.gov","Centers for Disease Control and Prevention","CDC Ebola Virus VP40 Real-time RT-PCR Assay","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","US FDA EUA","Molecular","RNA","EBOV viral matrix protein 40","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma; Urine; Whole Blood","50.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001Ll52d","a266900000Akg9G","29.10.2021","United States","Americas","cepheid.com","Cepheid","Xpert Ebola","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD; US FDA EUA; WHO EUL","Molecular","RNA","EBOV Glycoprotein; EBOV Nucleotide protein","qRT-PCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Buccal swab; Whole Blood","96.00","Yes","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","","","","","",""
"a0B6900001Ll52d","a266900000Akg9H","29.10.2021","United States","Americas","cepheid.com","Cepheid","Xpert Ebola","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD; US FDA EUA; WHO EUL","Molecular","RNA","EBOV Glycoprotein; EBOV Nucleotide protein","qRT-PCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Buccal swab; Whole Blood","96.00","Yes","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","","","","","",""
"a0B6900001U50ys","a266900000AWMlp","21.10.2022","United States","Americas","chembio.com","Chembio Diagnostic Systems, Inc.","DPP Fever Panel Antigen System","Ebola fever","Ebola virus","Ebola spp.","Regulatory Status Unknown","None","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Plasma; Finger prick blood; Venous blood; Whole Blood","15.00","Unknown","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001U50yt","a266900000AWMlq","21.10.2022","United States","Americas","chembio.com","Chembio Diagnostic Systems, Inc.","DPP Ebola-Malaria Antigen System","Ebola fever","Ebola virus","Ebola spp.","Validation","Unknown","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Plasma; Finger prick blood; Venous blood; Whole Blood","15.00","Unknown","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001Ll52e","a266900000Akg9R","29.10.2021","United States","Americas","chembio.com","Chembio Diagnostic Systems, Inc.","DPP Ebola Antigen System","Ebola fever","Ebola virus","Ebola spp.","Regulatory Achieved","US FDA EUA","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Plasma; Finger prick blood; Venous blood; Whole Blood","15.00","Unknown","No","Yes","Yes","None","Company-Sponsored","77.58","95.83","109","96","205","https://doi.org/10.1186/s12879-020-05339-2","2020","Published scientific article"
"a0B6900001Ll52f","a266900000Akg9g","29.10.2021","Italy","Europe","clonit.it","Clonit Srl","ZEBOV - Ebolavirus Zaire Strain","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52g","a266900000Akg9j","29.10.2021","United Kingdom","Europe","techne.com/index.asp","Cole-Parmer","QPCR Kit, RNA, Reston ebolavirus","Ebola fever","Ebola virus","Reston ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52h","a266900000Akg9k","29.10.2021","United Kingdom","Europe","techne.com/index.asp","Cole-Parmer","QPCR Kit, RNA, Sudan ebolavirus","Ebola fever","Ebola virus","Sudan ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
