"Submission ID","Performance Detail Submission ID","Created Date","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target","Target Pathogen (del)","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Connectivity Solution","FIND Evaluation","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples","Reference","Date of study","Type of data source"
"a0B6900001UsQ3s","a266900000AWPPY","23.02.2023","United States","Americas","cepheid.com","Cepheid","Xpert Mpox","Mpox","Mpox virus","Regulatory Achieved","US FDA EUA","Molecular","RNA","MPX F3L gene; OPX E9L","qRT-PCR","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Fully automated (including sample preparation)","near Point of Care","Intended for professional use only","Lesion fluid","","Yes","No","Yes","Yes","None","Company-Sponsored","100.00","96.60","31","30","61","","","Instructions for Use (IFU)"
"a0B6900001UsQ4R","a266900000AWPPd","23.02.2023","United States","Americas","diacarta.com","Diacarta Inc","QuantiVirus MPXV Test Kit","Mpox","Mpox virus","Regulatory Achieved","US FDA EUA","Molecular","RNA","MPX B6R gene; MPX J2L gene","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Lesion fluid","","No","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","30","30","60","","","Instructions for Use (IFU)"
"a0B6900001UsQ4v","a266900000AWPPi","23.02.2023","Spain","Europe","certest.es/","CERTEST BIOTEC SL","VIASURE MONKEYPOX VIRUS REAL TIME PCR DETECTION KIT","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","RNA","MPX F3L gene; MPX G2R gene","qRT-PCR","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Lesion fluid","","Unknown","No","Yes","Yes","US FDA EUA","Company-Sponsored","96.70","100.00","30","30","60","","","Instructions for Use (IFU)"
"a0B6900001OUDeh","a2669000009j2cN","27.07.2022","China","South-East Asia","hotgen.com.cn","Beijing Hotgen Biotech Co., Ltd","Monkeypox Virus Antigen Rapid Test","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Oropharyngeal swab; Saliva; Serum; Plasma; Whole Blood; Lesion crusts; Lesion fluid","20.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001OUFaI","a2669000009j2eE","28.07.2022","China","Western Pacific","bioantibody.net","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus Antigen Rapid Test Kit (Lateral Chromatography)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Lesion crusts; Lesion roof; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","95.00","99.05","40","105","145","","","Instructions for Use (IFU)"
"a0B6900001OUFaI","a2669000009j2iX","28.07.2022","China","Western Pacific","bioantibody.net","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus Antigen Rapid Test Kit (Lateral Chromatography)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Lesion crusts; Lesion roof; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","92.50","99.01","40","101","141","","","Instructions for Use (IFU)"
"a0B6900001OUFaI","a2669000009j2iY","28.07.2022","China","Western Pacific","bioantibody.net","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus Antigen Rapid Test Kit (Lateral Chromatography)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Lesion crusts; Lesion roof; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","90.00","98.08","40","103","143","","","Instructions for Use (IFU)"
"a0B6900001PJdAv","a266900000AWL34","18.08.2022","China","Western Pacific","vivachek.com","VivaChek Biotech (Hangzhou) Co., Ltd.","Monkeypox Virus Ag Rapid Test","Mpox","Mpox virus","Late Stage Development (fully functional prototype)","None","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Oropharyngeal swab","15.00","Not applicable","No","Yes","Yes","None","","","","","","0","","",""
"a0B6900001PJg9M","a266900000AWL4s","19.08.2022","China","South-East Asia","bioresource.com.cm","Abiores Technology (Beijing) Co.,Ltd.","Bio-resource Monkeypox Virus Ag Test","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","0","","","No available data"
"a0B6900001PJlKo","a266900000AWLAg","24.08.2022","China","Western Pacific","hongweitest.com","Jiangsu Macro & Micro-Test Med-Tech Co., Ltd.","Monkeypox-virus Antigen Detection Kit","Mpox","Mpox virus","Research Use Only (RUO)","None","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Oropharyngeal swab; Lesion fluid","20.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Instructions for Use (IFU)"
"a0B6900001PJuDz","a266900000AWLHd","30.08.2022","China","Western Pacific","gensurebio.cn","GenSure Biotech Inc.","latex immunochromatography","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Oropharyngeal swab; Lesion crusts","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","No available data"
"a0B6900001U3pot","a266900000AWLiK","07.09.2022","China","South-East Asia","mdeasydiagnosis.com","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","Monkeypox Virus Antigen Rapid Test Kit","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Oropharyngeal swab; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Unverified data"
"a0B6900001U3z5P","a266900000AWLqu","13.09.2022","China","Western Pacific","orientgene.com","Zhejiang Orient Gene Biotech Co.,Ltd","Monkeypox Ag Rapid Test Cassette (Swab)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Oropharyngeal swab; Other","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001U3z8d","a266900000AWLqz","13.09.2022","United States","Americas","healgen.com","Healgen Scientific LLC.","Monkeypox Ag Rapid Test Cassette (Swab)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Oropharyngeal swab; Other","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001U4HRh","a266900000AWM7K","23.09.2022","China","Western Pacific","en.wesailbio.com","Guangdong Wesail Biotech Co., Ltd.","Monkeypox Virus Ag Test Kit","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Lesion crusts; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Unverified data"
"a0B6900001U4vRd","a266900000AWMgv","19.10.2022","China","Western Pacific","chemtronbio.com","Shanghai Chemtron Biotech Co., Ltd","Monkeypox Virus  (MPXV) Antigen  Rapid Test","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Lesion roof; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","No available data"
"a0B6900001U4zs4","a266900000AWMl3","21.10.2022","China","South-East Asia","lvtangbio.com","NINGBO LVTANG BIOTECHNOLOGY CO., LTD.","Monkeypox Antigen Detection Kit ( Lateral Flow Method)","Mpox","Mpox virus","Regulatory Status Unknown","Unknown","Immunoassay","Antigen","MPX A29L antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Venous blood; Whole Blood; Lesion crusts; Lesion roof; Lesion fluid","20.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","0","0","0","","","No available data"
"a0B6900001U4vRd","a266900000AWO29","19.10.2022","China","Western Pacific","chemtronbio.com","Shanghai Chemtron Biotech Co., Ltd","Monkeypox Virus  (MPXV) Antigen  Rapid Test","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Lesion roof; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","98.00","100.00","0","0","0","","","Instructions for Use (IFU)"
"a0B6900001U4vRd","a266900000AWO2A","19.10.2022","China","Western Pacific","chemtronbio.com","Shanghai Chemtron Biotech Co., Ltd","Monkeypox Virus  (MPXV) Antigen  Rapid Test","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Lesion roof; Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Instructions for Use (IFU)"
"a0B6900001PDnuV","a266900000BBnal","25.05.2022","China","Western Pacific","en.autobio.com.cn","Autobio Diagnostics Co., Ltd","Monkeypox Ag Rapid Test","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Lesion fluid","","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDpoF","a266900000BC6rU","31.05.2022","China","Western Pacific","hightopqd.com","QINGDAO HIGHTOP BIOTECH CO., LTD","Monkeypox Virus Antigen Rapid Test (Immunochromatography)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Oropharyngeal swab; Lesion crusts; Lesion roof; Lesion fluid","20.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDq7L","a266900000BC9FQ","01.06.2022","China","Western Pacific","en.joysbio.com","JOYSBIO (Tianjin) Biotechnology Co., Ltd","JOYSBIO Monkeypox Rapid Test Kit","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Lesion fluid","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDqHR","a266900000BCCWP","01.06.2022","China","Western Pacific","testsealabs.de","Hangzhou Testsea Biotechnology Co.,ltd.","TestSea Monkeypox Antigen Test kit","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Nasal swab","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","","Other"
"a0B6900001PDvG4","a266900000BCs29","15.06.2022","China","South-East Asia","en.dynamiker.com","Dynamiker Biotechnology (Tianjin) Co., Ltd.","Dynamiker Monkeypox Virus Ag Rapid Test","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood; Other","15.00","Not applicable","No","Yes","Yes","","Company-Sponsored","","","","","","","","Unpublished data"
"a0B6900001PDvzv","a266900000BD2c6","17.06.2022","France","Europe","ngbiotech.com","NG Biotech","NG-Test Monkeypox virus","Mpox","Mpox virus","Research Use Only (RUO)","None","Immunoassay","Antigen","Other","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Lesion fluid; Other","15.00","Not applicable","No","Yes","Yes","","Company-Sponsored","","","","","","","","Unpublished data"
"a0B6900001OUDW5","a2669000009j2cI","27.07.2022","China","South-East Asia","uni-science.com","Uni-science Biotechnology Co., Ltd","Monkeypox IgG/IgM Rapid Test Kit (Colloidal gold Assay)","Mpox","Mpox virus","Experimental proof-of-concept","None","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001OUFd2","a2669000009j2eJ","28.07.2022","China","Western Pacific","bioantibody.net","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus IgM/IgG Antibody Rapid Test Kit (Lateral Chromatography)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","90.00","98.08","40","144","144","","",""
"a0B6900001OUFd2","a2669000009j2ic","28.07.2022","China","Western Pacific","bioantibody.net","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus IgM/IgG Antibody Rapid Test Kit (Lateral Chromatography)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","92.50","98.43","40","107","147","","","Instructions for Use (IFU)"
"a0B6900001PJYQF","a266900000AWKyN","15.08.2022","China","Western Pacific","vivachek.com","VivaChek Biotech (Hangzhou) Co., Ltd.","Monkeypox Virus IgM/IgG Rapid Test","Mpox","Mpox virus","Late Stage Development (fully functional prototype)","None","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","15.00","Not applicable","","Yes","Yes","","Company-Sponsored","","","","","","","","No available data"
"a0B6900001PJzSu","a266900000AWLPf","01.09.2022","China","Western Pacific","en.bio-germ.com","Shanghai BioGerm Medical Technology Co., Ltd.","Monkeypox IgM/IgG Antibody Rapid Test Kit","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Unknown","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Instructions for Use (IFU)"
"a0B6900001U3py5","a266900000AWLiP","07.09.2022","China","South-East Asia","mdeasydiagnosis.com","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","Monkeypox Virus IgM/IgG Antibody Rapid Test Kit","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Whole Blood","15.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Unverified data"
"a0B6900001U3q5f","a266900000AWLiZ","07.09.2022","China","Western Pacific","orientgene.com","Zhejiang Orient Gene Biotech Co.,Ltd","Monkeypox IgG/IgM Rapid Test Cassette (Whole Blood/Serum/Plasma)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","10.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001U3qL5","a266900000AWLio","07.09.2022","United States","Americas","healgen.com","Healgen Scientific LLC.","Monkeypox IgG/IgM Rapid Test Cassette (Whole Blood/Serum/Plasma)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","10.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Instructions for Use (IFU)"
"a0B6900001PDnum","a266900000BBnaa","25.05.2022","United States","Americas","4adi.com","Alpha Diagnostic International","Recombivirus Monkey Anti-monkeypox IgG ELISA kit","Mpox","Mpox virus","Research Use Only (RUO)","None","Immunoassay","Antibody (serological)","MPX IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDnuP","a266900000BBnaf","25.05.2022","Canada","Americas","mybiosource.com","MyBiosource.com","Human Monkeypox Virus (MPV) ELISA Kit","Mpox","Mpox virus","Research Use Only (RUO)","None","Immunoassay","Antibody (serological)","Unknown","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDnuU","a266900000BBnak","25.05.2022","China","Western Pacific","en.autobio.com.cn","Autobio Diagnostics Co., Ltd","Anti-Monkeypox Rapid Test","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDoDN","a266900000BBqdI","26.05.2022","China","Western Pacific","newscenbiotech.com","NewScen Coast Bio-Pharmaceutical Co., ltd.","New Scen Monkeypox IgG/IgM Rapid Test Cassette","Mpox","Mpox virus","Research Use Only (RUO)","None","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","20.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDoDO","a266900000BBv5p","26.05.2022","China","Western Pacific","newscenbiotech.com","NewScen Coast Bio-Pharmaceutical Co., ltd.","New Scen Monkeypox IgG/IgM Rapid Test Cassette - self-testing","Mpox","Mpox virus","Research Use Only (RUO)","None","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Serum; Plasma; Whole Blood","20.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDq7B","a266900000BC9FL","01.06.2022","China","Western Pacific","en.joysbio.com","JOYSBIO (Tianjin) Biotechnology Co., Ltd","JOYSBIO Monkeypox IgM/IgG Antibody Rapid Test Kit","Mpox","Mpox virus","Regulatory Status Unknown","Unknown","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood","25.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
