Submission ID,Performance Detail Submission ID,Date of Submission,Organisation Name,Submission Title,Disease Target,Stage of Development,Country of Manufacturer,Region,Website,Regulatory Approval,Clinical Sensitivity (%),Clinical Specificity (%),Type of Technology,Assay Target,Target Analyte(s),Technology principle,Test Format,Instrument requirement,Level of automation,Lab vs. POC,Self-testing/Self-Collection,Validated Sample Types,Time to results excl sample prep (mins),Time to results incl sample prep (mins),Connectivity Solution,FIND Evaluation,Impact of SARS-COV-2 Alpha variant,Impact of SARS-COV-2 Beta variant,Impact of SARS-COV-2 Gamma variant,Impact of SARS-COV-2 Delta variant,Impact of SARS-COV-2 Delta+ variant,Impact of SARS-COV-2 Omicron variant,S gene dropout,SARS-CoV-2 variant(s),Test to be listed on FIND's web page?,Data to be published on FIND's web page,Is this a variant detection test?,Revoked/Not Approved By,Study Type,Number of positive samples (clinical),Number of negative samples (clinical),Total number of samples (clinical)
a0B6900001Llcs4,a266900000B2ldz,2022-01-02,"Guangzhou Darui Biotechnology Co.,ltd.",V-Chek COVID-19 Antigen Saliva Test (self testing),SARS-CoV-2,Regulatory Achieved,China,Western Pacific,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fdaruibiotech.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://daruibiotech.com (New Window)"">http://daruibiotech.com</a>",Australia TGA; CE-IVD,95.65 %,98.44 %,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,115,128,243
a0B6900001Lld42,a266900000B2le0,2022-01-02,"VivaChek Biotech (Hangzhou) Co., ltd.",VivaDiag Pro SARS CoV 2 Ag Rapid Test (self test),SARS-CoV-2,Regulatory Achieved,China,Western Pacific,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fvivachek.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://vivachek.com (New Window)"">http://vivachek.com</a>",Australia TGA; CE-IVD; Other,99.13 %,99.99 %,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,NA,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,115,460,575
a0B6900001LlcsT,a266900000B2le1,2022-01-02,"Guangzhou Wondfo Biotech Co., ltd.",Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)-Self-test,SARS-CoV-2,Regulatory Achieved,China,Western Pacific,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2FWondfo.com.cn%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://Wondfo.com.cn (New Window)"">http://Wondfo.com.cn</a>",Australia TGA; CE-IVD; MHRA UK; Other,91.63 %,99.84 %,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasopharyngeal swab; Oropharyngeal swab,15,20,No,No,No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,251,623,774
a0B6900001LldIR,a266900000B2le2,2022-02-02,Department of Health (UK),COVID-19 Self-Test to detect infection in asymptomatic individuals (innova/bioti,SARS-CoV-2; Influenza A; Influenza B,Regulatory Achieved,United Kingdom,Europe,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.gov.uk%2Fgovernment%2Forganisations%2Fdepartment-of-health-and-social-care%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.gov.uk/government/organisations/department-of-health-and-social-care (New Window)"">https://www.gov.uk/government/organisations/department-of-health-and-social-care</a>",MHRA UK,-,-,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA
a0B6900001LldJU,a266900000B2le3,2022-02-02,nal von minden GmbH,"NADAL® COVID-19 Ag plus (Self-Testing)",SARS-CoV-2,Regulatory Achieved,Germany,Europe,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fnal-vonminden.com%2Fen%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://nal-vonminden.com/en/ (New Window)"">http://nal-vonminden.com/en/</a>",CE-IVD; Germany BfArM; Other,-,-,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA
a0B6900001LldQR,a266900000B2le5,2022-02-02,LSI Medience Corporation,PRORAST SARS-CoV-2 Ag,SARS-CoV-2,Regulatory Achieved,Japan,Western Pacific,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fmedience.co.jp%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://medience.co.jp (New Window)"">http://medience.co.jp</a>",Japan MHLW,-,-,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Unknown,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA
a0B6900001LldQf,a266900000B2le6,2022-02-02,Fujifilm Corporation,FUJI DRI-CHEM IMMUNO AG HANDY COVID-19 Ag,SARS-CoV-2,Regulatory Achieved,Japan,Western Pacific,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ffujifilm.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://fujifilm.com/ (New Window)"">http://fujifilm.com/</a>",Japan MHLW,-,-,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,13,18,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA
a0B6900001LldQk,a266900000B2le7,2022-02-02,Fujifilm Corporation,FUJI DRI-CHEM IMMUNO AG CARTRIDGE COVID-19 Ag,SARS-CoV-2,Regulatory Achieved,Japan,Western Pacific,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ffujifilm.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://fujifilm.com/ (New Window)"">http://fujifilm.com/</a>",Japan MHLW,-,-,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),A proprietary/new instrument is required,Manual,near Point of Care,Intended for professional use only,Nasopharyngeal swab,13,18,Unknown,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA
a0B6900001LldQp,a266900000B2le8,2022-02-02,Alfresa Pharma Corporation,ALSONIC COVID-19 Ag,SARS-CoV-2,Regulatory Achieved,Japan,Western Pacific,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Falfresa-pharma.co.jp%2Fenglish%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://alfresa-pharma.co.jp/english/ (New Window)"">http://alfresa-pharma.co.jp/english/</a>",Japan MHLW,-,-,Immunoassay,Antigen,Unknown,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,20,No,No,Unknown,Unknown,No expected impact (in silico analyses),Unknown,Unknown,Unknown,Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA
a0B6900001LldQu,a266900000B2le9,2022-02-02,Roche Diagnostics GmbH,Elecsys SARS-CoV-2 Antigen,SARS-CoV-2,Regulatory Achieved,Switzerland,Europe,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fmolecular.roche.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://molecular.roche.com/ (New Window)"">http://molecular.roche.com/</a>",Japan MHLW; Australia TGA; Singapore HSA; CE-IVD,-,100.00 %,Immunoassay,Antigen,N-protein,ELISA/EIA,Reagent Kit,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,18,25,Unknown,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,548,548
