"Performance Detail Submission: ID","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Website","Parent Submission: Regulatory Approval","Clinical Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Clinical Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Impact of SARS-COV-2 Beta variant","Parent Submission: Impact of SARS-COV-2 Alpha variant","Parent Submission: Impact of SARS-COV-2 Gamma variant","Parent Submission: Impact of SARS-COV-2 Delta+ variant","Parent Submission: Impact of SARS-COV-2 Delta variant","Parent Submission: Impact of SARS-COV-2 Omicron variant","Parent Submission: S gene dropout","Parent Submission: SARS-CoV-2 variant(s)","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Is this a variant detection test?","Parent Submission: Revoked/Not Approved By"
"a266900000A9wFQ","01.05.2021","3B BlackBio Biotech India ltd.","TRURAPID COVID-19 Ag Test","SARS-CoV-2","Regulatory Achieved","India","South-East Asia","https://www.3bblackbio.com","CE-IVD","90.26","84.44","94.45","99.05","97.25","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasopharyngeal swab; Nasal swab","15.00","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIV","","A. Menarini Diagnostics","ANTIGEN RAPID TEST CASSETTE SARS-COV-2 (SWAB)","SARS-CoV-2","Regulatory Achieved","United Kingdom","Europe","www.menarinidiagnostics.com","CE-IVD","96.72","","","99.22","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w7G","05.03.2021","AAZ-LMB","COVID-VIRO","SARS-CoV-2","Regulatory Achieved","France","Europe","https://www.covid19aaz.com/en/rapide-antigenic-test/","CE-IVD","96.60","93.30","99.80","100.00","93.50","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjh","","Abbott","BinaxNOW COVID-19 Antigen Self Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA; Health Canada","91.70","73.00","98.90","100.00","87.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhji","","Abbott","BinaxNOW COVID-19 Ag Card Home Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA","91.70","73.00","98.90","100.00","87.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjj","","Abbott","BinaxNOW COVID-19 Ag Card 2 Home Test","SARS-CoV-2","Regulatory Status Unknown","United States","Americas","http://www.abbott.com/index.htm","Unknown","91.70","73.00","98.90","100.00","87.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","US FDA EUA"
"a266900000Auhjk","","Abbott","BinaxNOW COVID-19 Ag 2 Card","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA","84.60","76.80","90.60","98.50","96.60","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wE0","06.04.2021","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasopharyngeal)","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","WHO EUL; Japan MHLW; Australia TGA; Health Canada; CE-IVD","91.40","85.50","95.50","99.80","98.80","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","Yes","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wE1","06.04.2021","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasal)","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD","98.10","93.20","99.80","99.80","98.60","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","Yes","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wC0","30.03.2021","Abbott Diagnostics Korea Inc.","BinaxNOW COVID-19 Ag Card","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","US FDA EUA; Health Canada","84.60","76.80","90.60","98.50","96.60","99.50","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","Unknown","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2lEj","01.02.2022","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Antigen self-test","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","Australia TGA; Health Canada; Singapore HSA","98.10","","","100.00","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2ldi","01.02.2022","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasal) (Self-test)","SARS-CoV-2","Regulatory Status Unknown","Korea, Republic of","Western Pacific","https://www.abbott.com/","Unknown","98.10","","","100.00","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIW","","Abbott Rapid Diagnostics","Panbio Covid-19 Ag Rapid Test","SARS-CoV-2","Regulatory Achieved","Germany","Europe","","CE-IVD","98.00","","","99.00","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wJ3","04.06.2021","ABC Invest & Medical GmbH","ABC Rapid Antigen Test","SARS-CoV-2","Regulatory Status Unknown","Switzerland","Europe","","Unknown","","","","","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Unknown","","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIX","","Abioteq GmbH","Cora Gentest-19","SARS-CoV-2","Regulatory Achieved","Germany","Europe","www.abioteq.de","CE-IVD","98.70","","","99.80","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIY","","Absology Co., ltd.","Absoludy COVID-19 Ag","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","www.absology.co.kr","CE-IVD","97.00","","","98.37","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Cartridge-based processing","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Nasopharyngeal swab","5.00","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIZ","","Absology Co., ltd.","Absoludy COVID-19 Ag Rapid","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","www.absology.co.kr","CE-IVD","88.00","","","100.00","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wF7","27.04.2021","Access Bio, Inc.","CareStart COVID-19 Antigen Home Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","","US FDA EUA; Australia TGA","91.67","74.00","98.00","96.63","93.00","98.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","10.00","Yes","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wCS","02.04.2021","Access Bio, Inc.","CareStart COVID-19 Antigen test","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.accessbio.net","US FDA EUA; Australia TGA; Health Canada; CE-IVD","93.75","79.85","98.27","99.32","96.27","99.88","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","10.00","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B3Dyw","14.02.2022","Access Bio, Inc.","CareStart COVID-19 Ag Plus","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.accessbio.net","Korea MFDS","","","","","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","10.00","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w7r","07.03.2021","AccuBioTech Co., ltd.","Accu-Tell COVID-19 Antigen Cassette (Saliva)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.accubiotech.com","CE-IVD","95.00","","","99.90","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","10.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIM","","AccuBioTech Co., ltd.","Accu-Tell SARS-CoV-2 Ag Cassette","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.accubiotech.com","CE-IVD","","","","","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIa","","AccuBioTech Co., ltd.","Accu-Tell COVID-19 Antigen Cassette (Nasal Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.accubiotech.com","CE-IVD","","","","","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wAo","26.03.2021","Acon Biotech (Hangzhou) Co., ltd.","SARS-CoV-2 Antigen Rapid Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.aconbio.com/index.html","CE-IVD; WHO EUL Under Assessment","97.10","93.10","98.90","99.50","98.20","99.90","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","Yes","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B3DCr","14.02.2022","Acon Biotech (Hangzhou) Co., ltd.","Flowflex SARS-CoV-2 Antigen Rapid Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.aconlabs.com","WHO EUL; Health Canada; CE-IVD; MHRA UK","97.10","93.10","98.90","99.50","98.20","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIO","","Acon Biotech (Hangzhou) Co., ltd.","Flowflex SARS-CoV-2 Antigen Rapid Test (Nasal/Saliva)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.aconbio.com/","CE-IVD","","","","","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Saliva","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIP","","Acon Biotech (Hangzhou) Co., ltd.","FIAflex SARS-CoV-2 Antigen FIA","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.aconbio.com/","CE-IVD","97.50","","","99.50","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIQ","","Acon Biotech (Hangzhou) Co., ltd.","SARS-CoV-2 & Influenza A/B Ag Combo FIA","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","China","Western Pacific","https://www.aconbio.com/","CE-IVD","96.70","","","99.30","","","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIy","","Acon Biotech (Hangzhou) Co., ltd.","SARS-CoV-2 & Influenza A/B Ag Combo Rapid Test","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","China","Western Pacific","https://www.aconbio.com/","CE-IVD","98.33","","","99.77","","","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2ldU","01.02.2022","Acon Biotech (Hangzhou) Co., ltd.","Flowflex SARS-CoV-2 Antigen Rapid Test (Self-Testing)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.aconlabs.com","Australia TGA; Health Canada; Singapore HSA; CE-IVD; MHRA UK; Other","97.10","","","98.80","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wAx","26.03.2021","Acon Laboratories, Inc.","SARS-CoV-2 Antigen Rapid Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.aconlabs.com","CE-IVD","97.10","93.10","98.90","99.50","98.20","99.90","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wAy","26.03.2021","Acon Laboratories, Inc.","SARS-CoV-2 Antigen Rapid Test(Nasal/Saliva)","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.aconlabs.com","CE-IVD","97.10","93.10","98.90","99.50","98.20","99.90","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Saliva","16.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjn","","Acon Laboratories, Inc.","Flowflex COVID-19 Antigen Home Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.aconlabs.com","US FDA EUA; MHRA UK","93.00","81.00","99.00","100.00","97.00","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wFC","28.04.2021","Acro Biotech Inc.","SARS-CoV-2 Antigen Rapid Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.acrobiotech.com/","CE-IVD","94.60","88.60","98.00","99.40","97.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wCT","02.04.2021","Acro Biotech Inc.","SARS-CoV-2 Antigen Rapid Test (Swab)","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.acrobiotech.com/","CE-IVD","94.60","88.60","98.00","99.40","97.70","99.90","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Other","15.00","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIJ","","Acro Biotech Inc.","SARS-CoV-2/Influenza A+B/RSV/Adenovirus/M.pneumoniae Antigen Combo Rapid Test","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus; Adenovirus; Mycoplasma pneumoniae","Regulatory Achieved","United States","Americas","www.acrobiotech.com","CE-IVD","","","","","","","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIz","","Acro Biotech Inc.","COVID-19 and Influenza A+B Antigen Combo Rapid Test (Nasopharyngeal Swab)","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","United States","Americas","www.acrobiotech.com","CE-IVD","","","","","","","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJL","","Acro Biotech Inc.","COVID-19 Antigen Rapid Test (Oral Fluid)","SARS-CoV-2","Regulatory Achieved","United States","Americas","www.acrobiotech.com","CE-IVD","","","","","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJM","","Acro Biotech Inc.","SARS-CoV-2/Influenza A+B/RSV Antigen Combo Rapid Test (Nasopharyngeal Swab)","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","United States","Americas","www.acrobiotech.com","CE-IVD","","","","","","","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJN","","Acro Biotech Inc.","SARS-CoV-2/Influenza A+B/RSV/Adenovirus Antigen Combo Rapid Test","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus; Adenovirus","Regulatory Achieved","United States","Americas","www.acrobiotech.com","CE-IVD","","","","","","","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wJQ","04.06.2021","Actim Oy","Actim SARS-CoV-2","SARS-CoV-2","Regulatory Achieved","Finland","Europe","https://www.actimtest.com","CE-IVD","98.25","90.61","99.96","100.00","97.57","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIL","","Actim Oy","Actim SARS-CoV-2 + Actim Influenza A&B","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","Finland","Europe","https://www.actimtest.com/","CE-IVD","85.00","","","100.00","","","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
