"Performance Detail Submission: ID","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Website","Parent Submission: Regulatory Approval","Clinical Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Clinical Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Impact of SARS-COV-2 Beta variant","Parent Submission: Impact of SARS-COV-2 Alpha variant","Parent Submission: Impact of SARS-COV-2 Gamma variant","Parent Submission: Impact of SARS-COV-2 Delta+ variant","Parent Submission: Impact of SARS-COV-2 Delta variant","Parent Submission: Impact of SARS-COV-2 Omicron variant","Parent Submission: S gene dropout","Parent Submission: SARS-CoV-2 variant(s)","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Is this a variant detection test?","Parent Submission: Revoked/Not Approved By"
"a266900000B5QIx","","Changzhou Biowin Pharmaceutical Co.,Ltd.","Novel Coronavirus (COVID-19) Antigen Test Kit(Colloidal Gold)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.czbiowin.cn","CE-IVD","95.60","","","98.30","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Oropharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wCt","02.04.2021","Chembio Diagnostic Systems, Inc.","DPP COVID-19 Antigen System","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://chembio.com/","Brazil ANVISA","0.00","","","0.00","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","0.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wID","26.05.2021","Chemtron Biotech Co., ltd.","Chemtrue® COVID-19/Influenza A+B Ag Combo Rapid Test (Colloidal Gold)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.chemtronbio.com","CE-IVD","92.96","","","100.00","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","10.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w9W","12.03.2021","CHIL TIBB MAL. SAN. VE TC. ltd. T","CHIL COVID-19 Antigen Rapid Test (Nasopharyngeal / Oropharyngeal Swab-Cassette)","SARS-CoV-2","Regulatory Achieved","Turkey","Europe","https://www.chil.com.tr/","CE-IVD; Germany BfArM; Other","99.01","97.49","99.73","99.57","98.46","99.95","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","20.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QKq","","Chongqing iSIA BIO-Technology Co., Ltd","COVID-19 Antigen Rapid Test Kit (Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.isiabio.com.cn","CE-IVD","","","","","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Oropharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJY","","CIGA Healthcare Ltd.","Suresign Professional Covid-19 Antigen Rapid Test Cassette (Oral Fluid)","SARS-CoV-2","Regulatory Achieved","United Kingdom","Europe","www.cigahealthcare.com/","CE-IVD","90.10","","","99.30","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wFM","29.04.2021","Citest Diagnostics Inc.","COVID-19 Antigen Rapid Test(swab)","SARS-CoV-2","Regulatory Achieved","Canada","Americas","https://www.citestdiagnostics.com","CE-IVD","96.40","89.80","99.20","99.00","96.30","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wFN","29.04.2021","Citest Diagnostics Inc.","COVID-19 Antigen Rapid Test (Oral Fluid)","SARS-CoV-2","Regulatory Achieved","Canada","Americas","https://www.citestdiagnostics.com","CE-IVD","90.10","82.50","95.10","99.30","97.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJZ","","Cofoe Medical Technology Co.,Ltd","SARS-CoV-2 Antigen Test Kit(Colloidal Gold Method)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","/","CE-IVD","96.04","","","99.00","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wCu","02.04.2021","Core Technology Co., ltd.","Coretests COVID-19 Ag Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.coretests.com","CE-IVD; WHO EUL Under Assessment","0.00","","","0.00","","","Immunoassay","Antigen","Other","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","10.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
