submission_id,submission_title,manufacturer,permalink,stage_of_development,regulatory_status,type_of_technology,test_format,target_analyte,lab_vs_poc,validated_sample_types,assay_target,regex,country,region
102,Orthopoxviruses - LightMix Modular Assay,TIB Molbiol/Roche Diagnostics,http://tib-molbiol.de,Research Use Only (RUO),None,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Unknown,DNA,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
103,Monkeypox Real-Time PCR kit,Trivitron Healthcare Pvt. ltd.,http://trivitron.com,Research Use Only (RUO),None,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Lesion crusts; Lesion roof; Lesion fluid,DNA,india(?!.*ocea),India,Asia
104,Monkeypox IgG/IgM Rapid Test Kit (Colloidal gold Assay),"Uni-science Biotechnology Co., Ltd",http://www.uni-science.com,Experimental proof-of-concept,None,Immunoassay,Rapid diagnostic test (strip or cassette),MPX IgG; MPX IgM,Lab-based,Serum; Plasma,Antibody (serological),^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
105,Novel and sensitive real-time PCR system for universal detection of poxviruses,Unité des Virus Émergents,http://doi.org/10.1038/s41598-021-81376-4,Validation,None,Molecular,"NAT reagent kit – open source",MPX D6R gene,Laboratory-developed test,Whole Blood; Lesion crusts,DNA,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
106,EasyNAT Monkeypox Virus,Ustar Biotechnologies (Hangzhou) ltd.,https://en.bioustar.com/product/152.html,Regulatory Achieved,CE-IVD,Molecular,"NAT reagent kit – proprietary platform",MPX F3L gene,near Point of Care,Purified DNA,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
107,VivaDia Monkeypox Virus Nucleic Acid Detection Kit,"VivaChek Biotech (Hangzhou) Co., ltd.",http://vivachek.com,Regulatory Achieved,CE-IVD,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Oropharyngeal swab; Whole Blood; Lesion crusts; Lesion roof; Lesion fluid,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
108,Monkeypox Virus Ag Rapid Test,"VivaChek Biotech (Hangzhou) Co., Ltd.",http://vivachek.com,Late Stage Development (fully functional prototype),None,Immunoassay,Rapid diagnostic test (strip or cassette),MPX Antigen,True Point of Care,Oropharyngeal swab,Antigen,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
109,Techstar Monkeypox Lyophilized Detection Kit,"Wuxi Techstar Technology Co.,Ltd.",http://techstarbio.com,Regulatory Achieved,CE-IVD,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Unknown,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
110,Monkeypox Virus Nucleic Acid Detection Kit (Fluorescence PCR Method),"Xi'an Tianlong  Science and Technology Co., Ltd.",https://www.tlgenetech.cn/product/monkeypox-virus-nucleic-acid-detection-kit,Regulatory Achieved,CE-IVD; MHRA UK,Molecular,"NAT reagent kit – open source",MPX F3L gene,Lab-based,Oropharyngeal swab; Lesion fluid,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
111,Detection Kit for Monkeypox Virus (Real-time PCR),"Xiamen Biotime Biotechnology Co., Ltd.",https://www.xiamenbiotime.com/detection-kit-for-monkeypox-virus-real-time-pcr_p81.html,Regulatory Achieved,CE-IVD; MHRA UK,Molecular,"NAT reagent kit – open source",MPX F3L gene,True Point of Care,Oropharyngeal swab; Purified DNA; Wound swab; Lesion crusts; Lesion roof; Lesion fluid,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
112,Detection Kit for Monkeypox Virus (Real-time PCR),"Xiamen Biotime Biotechnology Co., Ltd.",https://www.xiamenbiotime.com/detection-kit-for-monkeypox-virus-real-time-pcr_p81.html,Regulatory Achieved,CE-IVD; MHRA UK,Molecular,"NAT reagent kit – open source",MPX F3L gene,True Point of Care,Oropharyngeal swab; Purified DNA; Wound swab; Lesion crusts; Lesion roof; Lesion fluid,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
113,Orient Gene monkeypox virus nucleic acid detection kit,"Zhejiang Orient Gene Biotech Co., ltd.",http://orientgene.com,Regulatory Achieved,CE-IVD,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Unknown,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
114,Nucleic Acid Test Kit for Monkeypox Virus (Real-time PCR),Zhuhai Livzon Diagnostics Inc.,http://www.livzondiagnostics.com/en-us/,Regulatory Achieved,CE-IVD,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Unknown,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
115,Monkeypox virus nucleic acid detection kits (fluorescent PCR),ZYBIO INC.,http://zybio.com,Research Use Only (RUO),None,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Unknown,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
