package_id,performance_id,assay_id,instrument_id,software_id,technology_submission_id,directory,assay_name,instrument_name,package_name,performance_name,find_website_area,test_to_be_listed_on_finds_web_page,purpose_of_submission,confidentiality_level,assay_target,date_of_submission,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,planned_market_entry,primary_use_case,ID_type,disease_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,Drug_resistance_target,AST_output,test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,time_to_results_excl_prep,serovar_subtype,disease_target_phase,manufacturer_id,manufacturer,city,country,region,permalink,manufacturer_qms,submission_title,sensitivity,specificity,sensitivity_ci_low,sensitivity_ci_up,specificity_ci_low,specificity_ci_up,find_evaluation,study_type,number_of_positive_samples,number_of_negative_samples,total_number_of_samples,type_data_source,target_patient_group,sample_type,data_to_be_published_on_finds_web_page,reference_url,country_tmp,city2,lat,lng
a2v69000004gKqzAAE,a266900000B8trdAAB,a2r69000007lb96AAA,a2s690000019JztAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2285,PD-57911,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,INH detection from sputum,95.2,95.6,92.9,96.8,90.1,98.1,No,Company-Sponsored,464,132,596,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKqzAAE,a266900000B8treAAB,a2r69000007lb96AAA,a2s690000019JztAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2285,PD-57912,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,FLQ detection from sputum,94.5,95.2,90.7,96.9,92.5,96.9,No,Company-Sponsored,226,368,594,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKqzAAE,a266900000B8trfAAB,a2r69000007lb96AAA,a2s690000019JztAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2285,PD-57913,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,AMK detection from sputum,87.7,98.5,77.5,93.6,97,99.2,No,Company-Sponsored,65,528,593,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKqzAAE,a266900000B8trgAAB,a2r69000007lb96AAA,a2s690000019JztAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2285,PD-57914,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,KAN detection from sputum,93.7,92.4,89,96.4,89.4,94.6,No,Company-Sponsored,195,399,594,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKqzAAE,a266900000B8trhAAB,a2r69000007lb96AAA,a2s690000019JztAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2285,PD-57915,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,CAP detection from sputum,75.4,99.6,64,84,98.6,99.9,No,Company-Sponsored,54,541,595,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKqzAAE,a266900000B8triAAB,a2r69000007lb96AAA,a2s690000019JztAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2285,PD-57916,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,ETH detection from sputum,55,93.8,49.5,60.3,90.3,96.1,No,Company-Sponsored,194,403,597,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKr0AAE,a266900000B8trjAAB,a2r69000007lb96AAA,a2s690000019JzuAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2286,PD-57917,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,INH detection from sputum,95.2,95.6,92.9,96.8,90.1,98.1,No,Company-Sponsored,464,132,596,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKr0AAE,a266900000B8trkAAB,a2r69000007lb96AAA,a2s690000019JzuAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2286,PD-57918,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,FLQ detection from sputum,94.5,95.2,90.7,96.9,92.5,96.9,No,Company-Sponsored,226,368,594,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKr0AAE,a266900000B8trlAAB,a2r69000007lb96AAA,a2s690000019JzuAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2286,PD-57919,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,AMK detection from sputum,87.7,98.5,77.5,93.6,97,99.2,No,Company-Sponsored,65,528,593,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
a2v69000004gKr0AAE,a266900000B8trmAAB,a2r69000007lb96AAA,a2s690000019JzuAAE,NA,NA,Assays,Xpert MTB/XDR,NA,P-2286,PD-57920,Tuberculosis,Yes,Test Directory,NA,DNA,2023-06-22 12:17:45,Regulatory Achieved,Brazil ANVISA;CE-IVDD;WHO prequalified;Israel Ministry of Health,Molecular,AMR,Respiratory;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,NA,Tuberculosis,Mycobacteria,Mycobacterium Tuberculosis Complex Species,Not applicable,qPCR,Fluorescence,NA,NA,eis promoter;fabG1;gyrA;gyrB;inhA promoter;katG;oxyR-ahpC intergenic region;rrs,Amikacin;Capreomycin;Ethionamide;Fluoroquinolone;Isoniazid;Kanamycin,NA,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Bronchoalveolar lavage;Sputum;Other,90,NA,Active,001w000001VuVJXAA3,Cepheid,Sunnyvale,United States,Region of the Americas,https://cepheid.com,ISO 13485;MDSAP;FDA QSR,KAN detection from sputum,93.7,92.4,89,96.4,89.4,94.6,No,Company-Sponsored,195,399,594,Instructions for Use (IFU),Active TB,Sputum,No,NA,United States,"Sunnyvale, United States",37.3736764,-122.0365719
